SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-15-2022,Multi-Family (2-4 Unit),318 Hancock St,Polish Hill,PA,15219,354200,7,3,Polish Hill,,1306,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/318-Hancock-St-15219/home/74561570,West Penn MLS,1581558,N,Y,40.4584909,-79.966469
PAST SALE,December-9-2022,Single Family Residential,3215 Brereton St,Polish Hill,PA,15219,165000,4,3,Polish Hill,2760,988,1900,,60,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3215-Brereton-St-15219/home/74564265,West Penn MLS,1576744,N,Y,40.4568884,-79.9656885
PAST SALE,December-5-2022,Single Family Residential,3428 Bethoven,Polish Hill,PA,15219,200000,3,1,Polish Hill,,2395,,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3428-Bethoven-St-15219/home/74563712,West Penn MLS,1576825,N,Y,40.4578476,-79.9616095
PAST SALE,October-4-2022,Single Family Residential,342 Harmar St,Polish Hill,PA,15219,404000,3,3,Polish Hill,1800,3001,1915,,224,,Sold,,,https://www.redfin.com/PA/Pittsburgh/342-Harmar-St-15219/home/74562230,West Penn MLS,1568675,N,Y,40.4572213,-79.9675485
PAST SALE,September-28-2022,Single Family Residential,3209 Dobson St,Lawrenceville,PA,15219,584479,3,3.5,Lawrenceville,2971,,2020,,197,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3209-Dobson-St-15219/home/143077357,West Penn MLS,1466584,N,Y,40.458025,-79.965395
PAST SALE,,Multi-Family (2-4 Unit),3440 Melwood Ave,Pittsburgh,PA,15219,180000,2,2,,1470,2860,1900,,122,,,,,https://www.redfin.com/PA/Pittsburgh/3440-Melwood-Ave-15219/home/74563673,,,N,Y,40.4587767,-79.9617367
PAST SALE,August-16-2022,Multi-Family (2-4 Unit),3202 Brereton,Polish Hill,PA,15219,490000,3,2,Polish Hill,,3001,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3202-Brereton-St-15219/home/74561610,West Penn MLS,1561499,N,Y,40.4564927,-79.9661798
PAST SALE,August-5-2022,Single Family Residential,3204 1/2 Dobson St,Polish Hill,PA,15219,293500,2,2,Polish Hill,,2800,1890,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3204-1-2-Dobson-St-15219/home/73548837,West Penn MLS,1556594,N,Y,40.4576002,-79.9655023
PAST SALE,July-8-2022,Single Family Residential,3018 Wiggins,Polish Hill,PA,15219,269000,2,1.5,Polish Hill,1026,3929,1987,,262,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3018-Wiggins-St-15219/home/74775201,West Penn MLS,1555885,N,Y,40.4572383,-79.9694524
PAST SALE,June-23-2022,Single Family Residential,1121 Herron Ave,Polish Hill,PA,15219,156000,0,,Polish Hill,1404,1542,1985,,111,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1121-Herron-Ave-15219/home/74563886,West Penn MLS,1543737,N,Y,40.4584146,-79.9644491
PAST SALE,,Other,3550 Melwood Ave,Pittsburgh,PA,15213,32000,,,,,2425,,,,,,,,https://www.redfin.com/PA/Pittsburgh/3550-Melwood-Ave-15213/home/163680443,,,N,Y,40.4594896,-79.9593505
PAST SALE,May-23-2022,Single Family Residential,3120 Brereton St,Polish Hill,PA,15219,70000,3,2,Polish Hill,1068,3001,1900,,66,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3120-Brereton-St-15219/home/74561612,West Penn MLS,1545604,N,Y,40.456625,-79.9662536
PAST SALE,,Multi-Family (2-4 Unit),3604 Melwood Ave,Pittsburgh,PA,15213,240000,2,1,,1624,2900,1900,,148,,,,,https://www.redfin.com/PA/Pittsburgh/3604-Melwood-Ave-15213/home/74563753,,,N,Y,40.4595524,-79.9598776
PAST SALE,,Single Family Residential,1031 Herron Ave,Pittsburgh,PA,15219,184500,3,1.5,,1734,1180,1885,,106,,,,,https://www.redfin.com/PA/Pittsburgh/1031-Herron-Ave-15219/home/73511574,,,N,Y,40.4576077,-79.9642305
PAST SALE,April-13-2022,Single Family Residential,1031 Herron Ave,Polish Hill,PA,15219,184500,3,1,Polish Hill,1734,,1885,,106,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1031-Herron-Ave-15219/home/74563866,West Penn MLS,1500399,N,Y,40.4576077,-79.9642305
PAST SALE,April-8-2022,Multi-Family (2-4 Unit),3034 Brereton St,Polish Hill,PA,15219,280000,2,2,Polish Hill,,3001,1902,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3034-Brereton-St-15219/home/74561617,West Penn MLS,1537623,N,Y,40.4564561,-79.9686942
PAST SALE,April-6-2022,Single Family Residential,3511 Melwood Ave,Polish Hill,PA,15213,283000,3,2,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3511-Melwood-Ave-15213/home/74563735,West Penn MLS,1528683,N,Y,40.4594039,-79.9610074
PAST SALE,March-31-2022,Multi-Family (2-4 Unit),3704-06 Melwood Ave,Polish Hill,PA,15213,321000,5,2.5,Polish Hill,,4173,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3704-Melwood-Ave-15213/home/163821869,West Penn MLS,1531877,N,Y,40.4597609,-79.9586003
PAST SALE,March-11-2022,Single Family Residential,1012 Herron Ave,Polish Hill,PA,15219,327500,3,2.5,Polish Hill,1400,1999,1900,,234,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1012-Herron-Ave-15219/home/73524718,West Penn MLS,1533798,N,Y,40.456912,-79.9645621
PAST SALE,,Multi-Family (2-4 Unit),333 Downing St,Pittsburgh,PA,15219,380000,2,2.5,,1984,1550,1900,,192,,,,,https://www.redfin.com/PA/Pittsburgh/333-Downing-St-15219/home/74561552,,,N,Y,40.4577821,-79.9666779
