SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-16-2023,Single Family Residential,801 Shawnee St,Schenley Heights,PA,15219,90000,3,1.5,Schenley Heights,1783,2400,1935,,50,,Sold,,,https://www.redfin.com/PA/Pittsburgh/801-Shawnee-St-15219/home/74567226,West Penn MLS,1589837,N,Y,40.451076,-79.9610284
PAST SALE,February-15-2023,Condo/Co-op,2635 Penn Ave #305,Downtown Pgh,PA,15222,611000,2,2.0,Downtown Pgh,1456,,2022,,420,,Sold,,,https://www.redfin.com/PA/Pittsburgh/2635-Penn-Ave-15222/unit-305/home/170009490,West Penn MLS,1580792,N,Y,40.4557694,-79.9777068
PAST SALE,February-14-2023,Condo/Co-op,2635 Penn Ave #302,Downtown Pgh,PA,15222,556000,2,2.0,Downtown Pgh,1401,,2022,,397,,Sold,,,https://www.redfin.com/PA/Pittsburgh/2635-Penn-Ave-15222/unit-302/home/170009422,West Penn MLS,1580784,N,Y,40.4557694,-79.9777068
PAST SALE,February-10-2023,Condo/Co-op,2635 Penn Ave #406,Downtown Pgh,PA,15222,403000,1,1.0,Downtown Pgh,941,,2022,,428,,Sold,,,https://www.redfin.com/PA/Pittsburgh/2635-Penn-Ave-15222/unit-406/home/171236206,West Penn MLS,1581141,N,Y,40.4557694,-79.9777068
PAST SALE,February-10-2023,Condo/Co-op,2635 Penn Ave #216,Downtown Pgh,PA,15222,409000,1,1.0,Downtown Pgh,927,,2023,,441,,Sold,,,https://www.redfin.com/PA/Pittsburgh/2635-Penn-Ave-15222/unit-216/home/181243214,West Penn MLS,1592803,N,Y,40.455771,-79.9777087
PAST SALE,February-10-2023,Condo/Co-op,220 N Bellefield Ave #1201,Oakland,PA,15213,935000,3,2.5,Oakland,2489,,1997,,376,1510,Sold,,,https://www.redfin.com/PA/Pittsburgh/220-N-Bellefield-Ave-15213/unit-1201/home/73535655,West Penn MLS,1580216,N,Y,40.4490999,-79.9527577
PAST SALE,February-10-2023,Single Family Residential,206 1/2 Orville Way,Bloomfield,PA,15224,185000,2,1.0,Bloomfield,960,810,1900,,193,,Sold,,,https://www.redfin.com/PA/Pittsburgh/206-1-2-Orville-Way-15224/home/74653702,West Penn MLS,1585535,N,Y,40.4637995,-79.9503532
PAST SALE,February-10-2023,Condo/Co-op,5025 5th Ave Unit 1B,Shadyside,PA,15232,380000,3,2.0,Shadyside,1680,,1960,,226,1005,Sold,,,https://www.redfin.com/PA/Pittsburgh/5025-5th-Ave-15232/unit-1B/home/74665264,West Penn MLS,1546984,N,Y,40.4479274,-79.9416112
PAST SALE,February-9-2023,Condo/Co-op,2635 Penn Ave #405,Downtown Pgh,PA,15222,624000,2,2.0,Downtown Pgh,1456,,2022,,429,422,Sold,,,https://www.redfin.com/PA/Pittsburgh/2635-Penn-Ave-15222/unit-405/home/171236393,West Penn MLS,1581140,N,Y,40.4557694,-79.9777068
PAST SALE,February-9-2023,Single Family Residential,730 Adelaide St,Schenley Heights,PA,15219,93750,3,1.0,Schenley Heights,1044,3105,1915,,90,,Sold,,,https://www.redfin.com/PA/Pittsburgh/730-Adelaide-St-15219/home/74563959,West Penn MLS,1577380,N,Y,40.4538875,-79.9600896
PAST SALE,February-3-2023,Townhouse,6 Ellsworth Ter,Shadyside,PA,15213,437150,3,2.0,Shadyside,1608,1981,1910,,272,,Sold,,,https://www.redfin.com/PA/Pittsburgh/6-Ellsworth-Ter-15213/home/74665279,West Penn MLS,1587895,N,Y,40.4496545,-79.94669
